,High_Momentum_Forward_Return,Low_Momentum_Forward_Return,Long_Short
2023-02-01,0.06025870234916253,0.055311646774899303,0.004947055574263226
2023-02-02,0.028928020720204506,-0.023249634212252568,0.052177654932457074
2023-02-03,0.007819784529938811,-0.01045222193769213,0.01827200646763094
2023-02-06,0.03314514657055612,0.007320042482625189,0.025825104087930928
2023-02-07,0.03598991180580158,-0.006141687414470853,0.04213159922027243
2023-02-08,0.02517442000945347,0.008109085082329992,0.017065334927123477
2023-02-09,-0.014997593317603308,0.0029231536903515654,-0.017920747007954874
2023-02-10,0.00578420255447698,-0.0019115691359679055,0.007695771690444886
2023-02-13,-0.05200108735792186,-0.03328231882788424,-0.01871876853003762
2023-02-14,-0.09651288679609915,-0.03417024616574815,-0.062342640630351
2023-02-15,0.03953629791542079,-0.032175427053780736,0.07171172496920153
2023-02-16,0.05835831548893644,-0.02914680550493942,0.08750512099387586
2023-02-17,0.09879365104304716,-0.023400327047722103,0.12219397809076926
2023-02-21,0.12398941591757406,-0.0070910003872662886,0.13108041630484035
2023-02-22,0.0936684451734906,-0.009534943554038389,0.10320338872752899
2023-02-23,-0.014790529426544574,-0.0071133490980472835,-0.007677180328497291
2023-02-24,0.02593832039667099,0.019703382718147422,0.006234937678523567
2023-02-27,0.0022553068444934876,0.016946225005950888,-0.0146909181614574
2023-02-28,0.0032717218405629023,0.005072263160626145,-0.0018005413200632425
2023-03-01,0.0655170568948995,0.01058931860036827,0.054927738294531236
2023-03-02,0.005403605870913708,-0.01571094234765158,0.021114548218565288
2023-03-03,-0.03855583227575177,-0.037139668979691454,-0.0014161632960603132
2023-03-06,-0.02479827030700721,-0.03109786134031689,0.006299591033309682
2023-03-07,0.033278705107755435,-0.01642096499386614,0.049699670101621574
2023-03-08,0.0019437743090209292,0.04627510560223991,-0.04433133129321898
2023-03-09,0.08981916034454884,0.09464210752631463,-0.004822947181765791
2023-03-10,0.12018304810000302,0.12405968242071497,-0.003876634320711947
2023-03-13,0.12775411177367801,0.025645471671694064,0.10210864010198395
2023-03-14,0.08876701804386489,0.02221537608379287,0.06655164196007202
2023-03-15,0.09245497771489974,0.011114425790649252,0.08134055192425049
